Tanggal Prediksi,NVDA,AAPL,GOOGL,005930.KS,9988.HK,000660.KQ,AMD,0700.HK,TSLA,BABA,AMZN,INTC,MSFT
2025-04-23,100.09,198.76,154.22,55606.07,106.49,179097.07,94.1,456.57,246.82,109.83,178.0,20.05,374.3
2025-04-24,100.0,198.62,154.38,55603.5,106.38,179323.45,94.44,456.65,247.31,109.81,178.25,20.09,374.67
2025-04-25,99.9,198.62,154.5,55623.5,106.35,179462.69,94.72,455.77,247.54,109.77,178.5,20.13,374.93
2025-04-28,99.65,198.73,154.59,55634.63,106.18,179607.38,94.96,456.74,248.0,109.73,178.74,20.16,374.93
2025-04-29,99.6,198.71,154.7,55643.49,106.11,179708.16,95.17,456.74,248.2,109.65,178.92,20.2,375.26
2025-04-30,99.52,198.73,154.78,55651.33,106.04,179786.97,95.35,456.76,248.38,109.61,179.07,20.22,375.39
2025-05-01,99.45,198.76,154.84,55659.61,105.99,179854.71,95.5,456.83,248.56,109.58,179.21,20.24,375.52
2025-05-02,99.38,198.82,154.89,55709.9,106.08,179952.24,95.64,457.76,248.72,109.56,179.33,20.26,375.61
2025-05-05,99.32,198.83,154.93,55672.4,106.05,180011.94,95.76,457.8,248.86,109.54,179.43,20.28,375.72
2025-05-06,99.27,198.88,154.99,55675.08,105.88,180064.13,95.85,457.05,248.97,109.52,179.52,20.29,375.82
2025-05-07,99.23,198.89,155.02,55679.3,105.85,180115.08,95.93,457.09,249.07,109.5,179.59,20.3,375.88
2025-05-08,99.2,198.91,155.06,55682.23,105.82,180162.51,96.01,457.09,249.16,109.49,179.64,20.32,375.95
2025-05-09,99.17,198.92,155.09,55684.01,105.79,180183.55,96.07,457.1,249.22,109.48,179.69,20.32,375.98
2025-05-12,99.16,198.91,155.11,55686.58,105.77,180214.37,96.12,457.11,249.3,109.47,179.73,20.33,376.03
2025-05-13,99.14,198.95,155.13,55691.02,105.75,180237.1,96.16,457.13,249.36,109.46,179.77,20.34,376.07
2025-05-14,99.12,198.92,155.15,55696.67,105.74,180225.3,96.2,457.13,249.41,109.45,179.81,20.35,376.09
2025-05-15,99.11,198.93,155.16,55698.4,105.73,180247.38,96.23,457.13,249.45,109.45,179.84,20.35,376.11
2025-05-16,99.09,198.93,155.18,55699.81,105.72,180259.97,96.26,457.13,249.48,109.44,179.86,20.35,376.14
2025-05-19,99.07,198.92,155.19,55701.62,105.7,180272.66,96.28,457.13,249.52,109.44,179.88,20.36,376.17
2025-05-20,99.06,198.96,155.19,55701.31,105.7,180278.64,96.3,457.15,249.55,109.44,179.9,20.36,376.17
2025-05-21,99.06,198.94,155.2,55703.03,105.69,180293.58,96.32,457.15,249.57,109.44,179.92,20.36,376.17
2025-05-22,99.05,198.95,155.21,55703.95,105.69,180303.79,96.34,457.15,249.59,109.44,179.94,20.37,376.18
2025-05-23,99.04,198.95,155.22,55704.73,105.68,180311.53,96.35,457.15,249.6,109.43,179.95,20.37,376.2
2025-05-26,99.04,198.94,155.22,55705.77,105.67,180318.54,96.37,457.15,249.63,109.43,179.95,20.37,376.21
2025-05-27,99.03,198.97,155.23,55704.97,105.67,180320.97,96.37,457.17,249.63,109.43,179.96,20.37,376.22
2025-05-28,99.04,198.94,155.23,55705.95,105.67,180327.69,96.39,457.1,249.64,109.43,179.97,20.37,376.21
2025-05-29,99.03,198.94,155.24,55706.32,105.67,180314.9,96.39,457.09,249.64,109.43,179.98,20.37,376.22
2025-05-30,99.03,198.94,155.24,55706.23,105.66,180317.34,96.4,457.08,249.64,109.43,179.98,20.37,376.22
2025-06-02,99.02,198.92,155.24,55706.91,105.66,180300.01,96.41,457.08,249.67,109.43,179.98,20.37,376.23
2025-06-03,99.0,198.99,155.24,55704.13,105.8,180322.89,96.41,458.0,249.67,109.43,180.0,20.37,376.25
